Rank,Movie,Release Date,Distributor,Genre,2019 Gross,Tickets Sold
260,Honeyland, 2019-07-26,Neon,Documentary,"$712,363","77,768"
287,Tel Aviv on Fire, 2019-07-26,Cohen Media Group,Romantic Comedy,"$504,443","55,070"
296,Dear Comrade, 2019-07-26,,Action,"$457,000","49,890"
330,Mike Wallace is Here, 2019-07-26,Magnolia Pictures,Documentary,"$281,245","30,703"
461,The Mountain, 2019-07-26,Kino Lorber,Black Comedy,"$61,035","6,663"
485,For Sama, 2019-07-26,PBS Distribution,Documentary,"$43,796","4,781"
518,The Ground Beneath My Feet, 2019-07-26,Strand,Drama,"$29,171","3,184"
667,In Safe Hands, 2019-07-26,Distrib Films,Drama,"$1,737",189
374,Jay Myself, 2019-07-31,Oscilloscope Pict…,Documentary,"$151,331","16,520"
281,Grateful Dead Meet-Up at th…, 2019-08-01,Trafalgar Releasing,Documentary,"$534,611","58,363"
13,Fast & Furious Presents: Ho…, 2019-08-02,Universal,Action,"$173,956,935","18,990,932"
202,Luce, 2019-08-02,Neon,Thriller/Suspense,"$2,010,613","219,499"
291,Exit, 2019-08-02,CJ Entertainment,Adventure,"$478,949","52,287"
303,Union, 2019-08-02,Indican Pictures,Drama,"$413,656","45,158"
306,The Nightingale, 2019-08-02,IFC Films,Drama,"$400,741","43,749"
369,Them That Follow, 2019-08-02,1091 Media,Thriller/Suspense,"$159,218","17,381"
475,"Love, Antosha", 2019-08-02,Lurker Films,Documentary,"$50,168","5,476"
532,Piranhas, 2019-08-02,Music Box Films,Drama,"$23,494","2,564"
159,Bring the Soul: The Movie, 2019-08-07,Trafalgar Releasing,Documentary,"$4,809,800","525,087"
42,Scary Stories to Tell in th…, 2019-08-09,Lionsgate,Horror,"$68,947,075","7,526,973"
46,Dora and the Lost City of Gold, 2019-08-09,Paramount Pictures,Adventure,"$60,477,943","6,602,395"
89,The Art of Racing in the Rain, 2019-08-09,20th Century Fox,Drama,"$26,402,818","2,882,403"
104,The Peanut Butter Falcon, 2019-08-09,Roadside Attractions,Adventure,"$20,457,158","2,233,314"
124,The Kitchen, 2019-08-09,Warner Bros.,Drama,"$12,180,032","1,329,698"
164,Brian Banks, 2019-08-09,Bleecker Street,Drama,"$4,376,820","477,818"
216,After the Wedding, 2019-08-09,Sony Pictures Cla…,Drama,"$1,573,276","171,755"
328,The Bravest, 2019-08-09,Sony Pictures,Drama,"$290,217","31,683"
335,One Child Nation, 2019-08-09,Amazon Studios,Documentary,"$252,734","27,591"
427,ECCO, 2019-08-09,Citadel,Thriller/Suspense,"$86,858","9,482"
540,Wicked Witches, 2019-08-09,Nocturnal Features,Horror,"$21,600","2,358"
560,Ode to Joy, 2019-08-09,IFC Films,Comedy,"$17,303","1,888"
596,Vision Portraits, 2019-08-09,Self Distributed,Documentary,"$10,771","1,175"
625,Dying to Survive, 2019-08-09,China Lion Film D…,Drama,"$6,752",737
66,The Angry Birds Movie 2, 2019-08-13,Sony Pictures,Adventure,"$41,657,076","4,547,715"
174,Mission Mangal, 2019-08-15,FIP,Drama,"$3,660,413","399,608"
34,Good Boys, 2019-08-16,Universal,Comedy,"$83,140,306","9,076,453"
99,47 Meters Down: Uncaged, 2019-08-16,Entertainment Stu…,Horror,"$22,260,900","2,430,229"
126,Blinded by the Light, 2019-08-16,Warner Bros.,Drama,"$11,901,145","1,299,252"
137,Where’d You Go Bernadette, 2019-08-16,United Artists,Comedy,"$9,198,356","1,004,187"
323,Aquarela, 2019-08-16,Sony Pictures Cla…,Documentary,"$301,429","32,907"
326,Line Walker 2: Invisible Spy, 2019-08-16,Well Go USA,Action,"$296,751","32,396"
410,Cold Case Hammarskjold, 2019-08-16,Magnolia Pictures,Documentary,"$104,965","11,459"
413,The Divine Fury, 2019-08-16,Well Go USA,Action,"$102,982","11,242"
468,End of the Century, 2019-08-16,Cinema Guild,Drama,"$51,212","5,590"
498,Buñuel in the Labyrinth of …, 2019-08-16,GKIDS,Drama,"$36,205","3,952"
645,What You Gonna Do When The …, 2019-08-16,KimStim,Documentary,"$4,672",510
569,ZZ Top: That Little Ol’ Ban…, 2019-08-19,Abramorama Films,Documentary,"$14,879","1,624"
84,Ready or Not, 2019-08-21,Fox Searchlight,Black Comedy,"$28,714,231","3,134,741"
240,RUSH: Cinema Strangiato 2019, 2019-08-21,Trafalgar Releasing,Concert/Perfor…,"$958,907","104,684"
365,Tigers Are Not Afraid, 2019-08-21,Variance Films,Horror,"$175,559","19,165"
41,Angel Has Fallen, 2019-08-23,Lionsgate,Thriller/Suspense,"$69,030,436","7,536,073"
77,Overcomer, 2019-08-23,Sony Pictures,Drama,"$34,700,142","3,788,225"
142,Brittany Runs a Marathon, 2019-08-23,Amazon Studios,Drama,"$7,136,342","779,076"
270,Miles Davis: Birth of the Cool, 2019-08-23,Abramorama Films,Documentary,"$614,201","67,052"
278,Fiddler: A Miracle of Miracles, 2019-08-23,Roadside Attractions,Documentary,"$549,385","59,976"
342,Give Me Liberty, 2019-08-23,Music Box Films,Comedy,"$238,600","26,048"
459,Vita & Virginia, 2019-08-23,IFC Films,Drama,"$62,350","6,806"
624,Genesis, 2019-08-23,Film Movement,Drama,"$6,784",740
635,The Miracle of the Little P…, 2019-08-28,Film Movement,Documentary,"$5,553",606
173,Ne Zha, 2019-08-29,Well Go USA,Adventure,"$3,695,533","403,442"
189,Saaho, 2019-08-29,Yash Raj Films,Action,"$2,626,284","286,712"
